"riskiness (0 =  good, 1 = bad)",principal,"past_due_days (cutoff on 12/8/2016, negative means paid early)","education (0 = high school or below, 1 = some college, 2 = bachelor, 3 = master or above)",age,"gender (0 = male, 1 = female)","money_in_checking_account (0 = less than 0 or no account, 1 = between 0 and 10000, 2 = more than 10000)","credit_history (0 = no credits taken or all credits paid back on time, 1 = existing credits paid back on time until now, 2 = delay in paying back in the past, 3 = critical account/credits at other banks)",credit_amount,"money_in_savings (0 = unknown or no savings account, 1 = less than 1000, 2 = between 1000 and 5000, 3 = between 5000 and 10000, 4 = over 10000)","years_at_present_employment (0 = unemployed, 1 = less than 1 year, 2 = between 1 and 4 years, 3 = between 4 and 7 years, 4 = more than 7 years)",years_at_current_address,"rent_housing (0 = no, 1 = yes)","own_housing (0 = no, 1 = yes)","free_housing (0 = no, 1 = yes)",number_of_credits_at_this_bank,"is_employed (0 = unemployed, 1 = employed)",number_of_dependents,"is_foreign_worker (0 = no, 1 = yes)"
0,300,-5,0,24,1,,,,,,,,,,,,,
0,1000,-5,0,35,0,,,,,,,,,,,,,
0,1000,-5,0,22,0,,,,,,,,,,,,,
0,1000,-5,0,32,0,,,,,,,,,,,,,
0,300,-4,1,32,0,,,,,,,,,,,,,
0,1000,-4,1,50,0,,,,,,,,,,,,,
0,800,-4,0,27,1,,,,,,,,,,,,,
0,800,-4,2,35,1,,,,,,,,,,,,,
0,800,-4,1,35,1,,,,,,,,,,,,,
0,1000,-4,0,34,0,,,,,,,,,,,,,
0,800,-4,0,21,0,,,,,,,,,,,,,
0,1000,-4,0,25,0,,,,,,,,,,,,,
0,1000,-4,1,27,0,,,,,,,,,,,,,
0,800,-4,1,26,0,,,,,,,,,,,,,
0,1000,-4,1,44,1,,,,,,,,,,,,,
0,1000,-3,0,39,0,,,,,,,,,,,,,
0,1000,-3,2,34,0,,,,,,,,,,,,,
0,1000,-3,2,37,0,,,,,,,,,,,,,
0,800,-3,3,34,0,,,,,,,,,,,,,
0,1000,-3,1,45,0,,,,,,,,,,,,,
0,800,-3,0,24,0,,,,,,,,,,,,,
0,1000,-3,0,28,0,,,,,,,,,,,,,
0,800,-3,1,28,0,,,,,,,,,,,,,
0,1000,-3,1,37,0,,,,,,,,,,,,,
0,1000,-3,1,35,0,,,,,,,,,,,,,
0,1000,-3,0,43,0,,,,,,,,,,,,,
0,1000,-3,1,29,0,,,,,,,,,,,,,
0,800,-3,1,29,0,,,,,,,,,,,,,
0,1000,-2,1,33,1,,,,,,,,,,,,,
0,900,-2,1,34,0,,,,,,,,,,,,,
0,800,-2,2,25,0,,,,,,,,,,,,,
0,1000,-2,1,30,0,,,,,,,,,,,,,
0,1000,-2,0,31,0,,,,,,,,,,,,,
0,300,-2,1,35,0,,,,,,,,,,,,,
0,800,-2,1,37,1,,,,,,,,,,,,,
0,1000,-2,1,44,1,,,,,,,,,,,,,
0,1000,-2,1,28,0,,,,,,,,,,,,,
0,1000,-2,2,25,0,,,,,,,,,,,,,
0,1000,-2,0,29,0,,,,,,,,,,,,,
0,800,-2,1,33,0,,,,,,,,,,,,,
0,1000,-2,0,37,1,,,,,,,,,,,,,
0,1000,-2,1,33,0,,,,,,,,,,,,,
0,800,-2,2,24,1,,,,,,,,,,,,,
0,800,-2,1,27,1,,,,,,,,,,,,,
0,1000,-2,0,43,0,,,,,,,,,,,,,
0,1000,-2,1,46,1,,,,,,,,,,,,,
0,1000,-2,0,34,1,,,,,,,,,,,,,
0,1000,-2,0,32,1,,,,,,,,,,,,,
0,1000,-2,2,38,0,,,,,,,,,,,,,
0,1000,-2,0,27,0,,,,,,,,,,,,,
0,1000,-2,1,33,0,,,,,,,,,,,,,
0,1000,-2,1,36,0,,,,,,,,,,,,,
0,1000,-2,1,26,0,,,,,,,,,,,,,
0,1000,-2,0,34,0,,,,,,,,,,,,,
0,800,-2,2,22,0,,,,,,,,,,,,,
0,1000,-1,1,31,1,,,,,,,,,,,,,
0,1000,-1,2,29,0,,,,,,,,,,,,,
0,1000,-1,1,38,0,,,,,,,,,,,,,
0,1000,-1,0,30,0,,,,,,,,,,,,,
0,1000,-1,1,45,0,,,,,,,,,,,,,
0,800,-1,0,35,0,,,,,,,,,,,,,
0,1000,-1,2,30,0,,,,,,,,,,,,,
0,1000,-1,0,31,0,,,,,,,,,,,,,
0,800,-1,0,31,0,,,,,,,,,,,,,
0,1000,-1,1,28,0,,,,,,,,,,,,,
0,1000,-1,2,29,0,,,,,,,,,,,,,
0,1000,-1,0,29,0,,,,,,,,,,,,,
0,1000,-1,1,27,1,,,,,,,,,,,,,
0,1000,-1,1,27,0,,,,,,,,,,,,,
0,1000,-1,0,33,0,,,,,,,,,,,,,
0,1000,-1,1,28,0,,,,,,,,,,,,,
0,800,-1,0,25,0,,,,,,,,,,,,,
0,1000,-1,1,40,0,,,,,,,,,,,,,
0,300,-1,0,23,0,,,,,,,,,,,,,
0,800,-1,0,35,0,,,,,,,,,,,,,
0,800,-1,1,24,0,,,,,,,,,,,,,
0,1000,-1,1,34,0,,,,,,,,,,,,,
0,1000,-1,0,22,0,,,,,,,,,,,,,
0,1000,-1,2,20,0,,,,,,,,,,,,,
0,1000,-1,0,23,0,,,,,,,,,,,,,
0,800,-1,0,33,0,,,,,,,,,,,,,
0,800,-1,1,26,0,,,,,,,,,,,,,
0,1000,-1,2,28,0,,,,,,,,,,,,,
0,500,-1,0,43,0,,,,,,,,,,,,,
0,800,-1,1,34,0,,,,,,,,,,,,,
0,800,-1,1,38,0,,,,,,,,,,,,,
0,1000,-1,0,26,0,,,,,,,,,,,,,
0,1000,-1,0,43,0,,,,,,,,,,,,,
0,800,-1,0,26,0,,,,,,,,,,,,,
0,1000,-1,0,33,1,,,,,,,,,,,,,
0,1000,0,2,24,0,,,,,,,,,,,,,
0,1000,0,1,30,0,,,,,,,,,,,,,
0,1000,0,0,32,1,,,,,,,,,,,,,
0,1000,0,0,22,0,,,,,,,,,,,,,
0,1000,0,1,47,0,,,,,,,,,,,,,
0,1000,0,0,20,0,,,,,,,,,,,,,
0,1000,0,1,28,0,,,,,,,,,,,,,
0,800,0,0,35,0,,,,,,,,,,,,,
0,1000,0,1,27,0,,,,,,,,,,,,,
0,800,0,2,33,1,,,,,,,,,,,,,
0,1000,0,1,30,0,,,,,,,,,,,,,
0,1000,0,2,31,0,,,,,,,,,,,,,
0,1000,0,1,26,1,,,,,,,,,,,,,
0,1000,0,2,37,0,,,,,,,,,,,,,
0,1000,0,2,26,0,,,,,,,,,,,,,
0,1000,0,2,35,0,,,,,,,,,,,,,
0,1000,0,0,29,0,,,,,,,,,,,,,
0,1000,0,0,23,0,,,,,,,,,,,,,
0,1000,0,1,23,1,,,,,,,,,,,,,
0,1000,0,0,30,0,,,,,,,,,,,,,
0,800,0,0,34,0,,,,,,,,,,,,,
0,1000,0,1,36,1,,,,,,,,,,,,,
0,1000,0,1,26,0,,,,,,,,,,,,,
0,1000,0,2,29,0,,,,,,,,,,,,,
0,1000,0,1,28,1,,,,,,,,,,,,,
0,1000,0,0,27,0,,,,,,,,,,,,,
0,1000,0,1,24,0,,,,,,,,,,,,,
0,1000,0,1,31,0,,,,,,,,,,,,,
0,1000,0,0,28,0,,,,,,,,,,,,,
0,800,0,0,27,1,,,,,,,,,,,,,
0,800,0,1,25,0,,,,,,,,,,,,,
0,1000,0,2,24,0,,,,,,,,,,,,,
0,1000,0,1,28,0,,,,,,,,,,,,,
0,1000,0,0,28,0,,,,,,,,,,,,,
0,1000,0,0,35,0,,,,,,,,,,,,,
0,800,0,1,38,0,,,,,,,,,,,,,
0,1000,0,0,38,0,,,,,,,,,,,,,
0,1000,0,1,29,0,,,,,,,,,,,,,
0,1000,0,1,35,0,,,,,,,,,,,,,
0,1000,0,1,24,0,,,,,,,,,,,,,
0,1000,0,1,39,0,,,,,,,,,,,,,
0,1000,0,0,25,0,,,,,,,,,,,,,
0,1000,0,1,38,0,,,,,,,,,,,,,
0,1000,0,0,30,0,,,,,,,,,,,,,
0,800,0,1,21,0,,,,,,,,,,,,,
0,300,0,3,46,0,,,,,,,,,,,,,
0,1000,0,2,31,1,,,,,,,,,,,,,
0,1000,0,1,29,0,,,,,,,,,,,,,
0,1000,0,1,35,0,,,,,,,,,,,,,
0,1000,0,2,30,0,,,,,,,,,,,,,
0,1000,0,1,27,0,,,,,,,,,,,,,
0,800,0,2,31,1,,,,,,,,,,,,,
0,1000,0,0,33,0,,,,,,,,,,,,,
0,1000,0,1,34,0,,,,,,,,,,,,,
0,1000,0,1,28,0,,,,,,,,,,,,,
0,1000,0,0,42,0,,,,,,,,,,,,,
0,1000,0,0,32,0,,,,,,,,,,,,,
0,1000,0,0,30,0,,,,,,,,,,,,,
0,800,0,1,25,1,,,,,,,,,,,,,
0,1000,0,0,27,1,,,,,,,,,,,,,
0,1000,0,1,21,0,,,,,,,,,,,,,
0,1000,0,1,24,0,,,,,,,,,,,,,
0,1000,0,0,29,0,,,,,,,,,,,,,
0,800,0,0,40,0,,,,,,,,,,,,,
0,1000,0,1,29,0,,,,,,,,,,,,,
0,800,0,2,29,0,,,,,,,,,,,,,
0,800,0,0,30,0,,,,,,,,,,,,,
0,800,0,1,26,1,,,,,,,,,,,,,
0,1000,0,1,36,0,,,,,,,,,,,,,
0,1000,0,1,27,0,,,,,,,,,,,,,
0,1000,0,1,20,0,,,,,,,,,,,,,
0,1000,0,0,26,1,,,,,,,,,,,,,
0,800,0,0,26,0,,,,,,,,,,,,,
0,800,0,0,27,0,,,,,,,,,,,,,
0,800,0,1,23,0,,,,,,,,,,,,,
0,1000,0,1,39,0,,,,,,,,,,,,,
0,1000,0,0,27,0,,,,,,,,,,,,,
0,1000,0,2,30,0,,,,,,,,,,,,,
0,1000,0,0,33,1,,,,,,,,,,,,,
0,1000,0,0,27,0,,,,,,,,,,,,,
0,1000,0,1,35,0,,,,,,,,,,,,,
0,1000,0,0,29,1,,,,,,,,,,,,,
0,800,0,1,50,0,,,,,,,,,,,,,
0,1000,0,1,31,1,,,,,,,,,,,,,
0,800,0,0,31,0,,,,,,,,,,,,,
0,1000,0,2,29,0,,,,,,,,,,,,,
0,1000,0,2,35,0,,,,,,,,,,,,,
0,1000,0,2,39,0,,,,,,,,,,,,,
0,1000,0,1,29,0,,,,,,,,,,,,,
0,1000,0,0,30,0,,,,,,,,,,,,,
0,1000,0,0,33,0,,,,,,,,,,,,,
0,1000,0,0,26,0,,,,,,,,,,,,,
0,1000,0,1,25,0,,,,,,,,,,,,,
0,1000,1,1,37,0,,,,,,,,,,,,,
0,1000,1,1,26,0,,,,,,,,,,,,,
0,800,1,1,26,0,,,,,,,,,,,,,
0,1000,1,0,27,0,,,,,,,,,,,,,
0,800,1,1,34,1,,,,,,,,,,,,,
0,1000,1,0,37,0,,,,,,,,,,,,,
0,1000,1,1,36,0,,,,,,,,,,,,,
0,800,1,1,33,0,,,,,,,,,,,,,
0,1000,1,0,30,0,,,,,,,,,,,,,
0,700,1,0,30,0,,,,,,,,,,,,,
0,800,1,1,36,0,,,,,,,,,,,,,
0,800,1,0,29,0,,,,,,,,,,,,,
0,800,1,1,36,0,,,,,,,,,,,,,
0,1000,1,0,32,0,,,,,,,,,,,,,
0,1000,1,1,29,1,,,,,,,,,,,,,
0,800,1,0,36,0,,,,,,,,,,,,,
0,900,1,1,30,1,,,,,,,,,,,,,
0,1000,1,2,31,0,,,,,,,,,,,,,
0,800,1,1,19,1,,,,,,,,,,,,,
0,1000,1,0,26,0,,,,,,,,,,,,,
0,1000,1,0,34,0,,,,,,,,,,,,,
0,1000,1,1,35,0,,,,,,,,,,,,,
0,1000,1,0,35,1,,,,,,,,,,,,,
0,1000,1,1,38,0,,,,,,,,,,,,,
0,1000,1,1,29,0,,,,,,,,,,,,,
0,1000,1,0,28,0,,,,,,,,,,,,,
0,1000,1,1,22,0,,,,,,,,,,,,,
0,1000,1,1,32,0,,,,,,,,,,,,,
0,800,1,0,31,0,,,,,,,,,,,,,
0,1000,1,2,28,0,,,,,,,,,,,,,
0,800,1,0,37,1,,,,,,,,,,,,,
0,1000,1,0,25,0,,,,,,,,,,,,,
0,800,1,0,19,0,,,,,,,,,,,,,
0,1000,1,1,51,0,,,,,,,,,,,,,
0,1000,1,0,29,0,,,,,,,,,,,,,
0,1000,1,0,23,1,,,,,,,,,,,,,
0,1000,1,0,30,0,,,,,,,,,,,,,
0,1000,1,1,23,0,,,,,,,,,,,,,
0,800,1,1,34,1,,,,,,,,,,,,,
0,1000,1,0,31,1,,,,,,,,,,,,,
0,1000,1,1,24,0,,,,,,,,,,,,,
0,1000,1,0,42,0,,,,,,,,,,,,,
0,1000,1,1,40,1,,,,,,,,,,,,,
0,800,1,0,29,0,,,,,,,,,,,,,
0,800,1,1,32,1,,,,,,,,,,,,,
0,1000,1,0,28,0,,,,,,,,,,,,,
0,1000,1,0,35,0,,,,,,,,,,,,,
0,1000,1,0,30,0,,,,,,,,,,,,,
0,1000,1,1,44,0,,,,,,,,,,,,,
0,1000,1,0,37,0,,,,,,,,,,,,,
0,800,1,1,31,0,,,,,,,,,,,,,
0,1000,1,1,36,0,,,,,,,,,,,,,
0,1000,1,0,31,0,,,,,,,,,,,,,
0,1000,1,0,42,0,,,,,,,,,,,,,
0,1000,1,1,28,0,,,,,,,,,,,,,
0,1000,1,0,30,0,,,,,,,,,,,,,
0,1000,1,0,30,0,,,,,,,,,,,,,
0,1000,1,1,24,0,,,,,,,,,,,,,
0,1000,1,1,34,0,,,,,,,,,,,,,
0,1000,1,0,29,0,,,,,,,,,,,,,
0,1000,1,0,38,1,,,,,,,,,,,,,
0,1000,1,0,34,0,,,,,,,,,,,,,
0,800,1,0,28,0,,,,,,,,,,,,,
0,800,1,2,30,1,,,,,,,,,,,,,
0,1000,1,0,41,0,,,,,,,,,,,,,
0,1000,1,1,29,0,,,,,,,,,,,,,
0,800,1,1,37,0,,,,,,,,,,,,,
0,1000,1,0,36,0,,,,,,,,,,,,,
0,1000,1,2,30,1,,,,,,,,,,,,,
0,800,1,0,27,0,,,,,,,,,,,,,
0,1000,1,2,29,0,,,,,,,,,,,,,
0,1000,1,2,40,0,,,,,,,,,,,,,
0,1000,1,1,28,0,,,,,,,,,,,,,
0,800,1,1,29,0,,,,,,,,,,,,,
0,1000,1,1,37,0,,,,,,,,,,,,,
0,1000,1,1,33,0,,,,,,,,,,,,,
0,1000,1,0,27,0,,,,,,,,,,,,,
0,1000,1,1,24,0,,,,,,,,,,,,,
0,500,1,2,31,1,,,,,,,,,,,,,
0,1000,1,2,28,0,,,,,,,,,,,,,
0,1000,1,2,40,0,,,,,,,,,,,,,
0,1000,1,0,33,0,,,,,,,,,,,,,
0,1000,1,0,41,0,,,,,,,,,,,,,
0,1000,1,1,30,0,,,,,,,,,,,,,
0,1000,1,0,26,1,,,,,,,,,,,,,
0,1000,1,0,27,0,,,,,,,,,,,,,
0,1000,1,0,20,0,,,,,,,,,,,,,
0,1000,1,2,24,0,,,,,,,,,,,,,
0,800,1,1,26,0,,,,,,,,,,,,,
0,1000,1,1,30,0,,,,,,,,,,,,,
0,1000,1,1,29,0,,,,,,,,,,,,,
0,1000,2,1,22,0,,,,,,,,,,,,,
0,800,2,1,24,0,,,,,,,,,,,,,
0,800,2,1,25,0,,,,,,,,,,,,,
0,1000,2,0,28,0,,,,,,,,,,,,,
0,800,2,1,37,0,,,,,,,,,,,,,
0,1000,2,1,32,0,,,,,,,,,,,,,
0,1000,2,1,34,0,,,,,,,,,,,,,
0,1000,2,1,28,0,,,,,,,,,,,,,
0,1000,2,0,35,0,,,,,,,,,,,,,
0,800,2,2,27,0,,,,,,,,,,,,,
0,1000,2,1,24,1,,,,,,,,,,,,,
0,1000,2,1,44,0,,,,,,,,,,,,,
0,1000,2,0,31,0,,,,,,,,,,,,,
0,1000,2,1,27,0,,,,,,,,,,,,,
0,1000,2,1,21,0,,,,,,,,,,,,,
0,1000,2,1,30,1,,,,,,,,,,,,,
0,800,2,1,38,1,,,,,,,,,,,,,
0,800,2,2,34,0,,,,,,,,,,,,,
0,1000,2,0,31,0,,,,,,,,,,,,,
0,800,2,0,23,0,,,,,,,,,,,,,
0,1000,2,2,27,1,,,,,,,,,,,,,
0,1000,2,0,39,0,,,,,,,,,,,,,
0,800,3,0,30,1,,,,,,,,,,,,,
0,800,3,0,25,0,,,,,,,,,,,,,
0,1000,3,0,50,0,,,,,,,,,,,,,
0,800,3,2,23,0,,,,,,,,,,,,,
0,1000,3,0,38,0,,,,,,,,,,,,,
0,1000,3,1,27,0,,,,,,,,,,,,,
0,1000,3,0,31,0,,,,,,,,,,,,,
0,1000,3,0,40,0,,,,,,,,,,,,,
0,1000,3,0,32,0,,,,,,,,,,,,,
0,1000,3,0,29,0,,,,,,,,,,,,,
0,1000,3,0,26,0,,,,,,,,,,,,,
0,1000,3,1,25,0,,,,,,,,,,,,,
0,1000,3,0,35,0,,,,,,,,,,,,,
0,800,3,1,41,0,,,,,,,,,,,,,
0,1000,4,1,37,0,,,,,,,,,,,,,
0,800,4,0,34,0,,,,,,,,,,,,,
0,1000,4,1,45,0,,,,,,,,,,,,,
0,800,4,1,26,0,,,,,,,,,,,,,
0,1000,4,2,32,0,,,,,,,,,,,,,
0,1000,4,0,28,0,,,,,,,,,,,,,
0,1000,4,0,34,0,,,,,,,,,,,,,
0,1000,4,1,29,0,,,,,,,,,,,,,
0,1000,5,2,26,0,,,,,,,,,,,,,
0,1000,5,2,26,0,,,,,,,,,,,,,
0,1000,5,1,22,0,,,,,,,,,,,,,
0,1000,5,1,27,1,,,,,,,,,,,,,
0,800,5,1,33,0,,,,,,,,,,,,,
0,1000,6,0,28,0,,,,,,,,,,,,,
0,1000,6,0,24,0,,,,,,,,,,,,,
0,1000,7,1,37,0,,,,,,,,,,,,,
0,1000,7,0,36,0,,,,,,,,,,,,,
0,1000,7,1,18,0,,,,,,,,,,,,,
0,1000,8,0,25,0,,,,,,,,,,,,,
0,1000,9,1,40,0,,,,,,,,,,,,,
0,1000,12,1,29,0,,,,,,,,,,,,,
0,800,12,1,26,1,,,,,,,,,,,,,
0,1000,13,1,30,0,,,,,,,,,,,,,
0,1000,13,1,33,0,,,,,,,,,,,,,
0,1000,14,1,30,0,,,,,,,,,,,,,
0,1000,14,2,32,0,,,,,,,,,,,,,
0,1000,14,0,25,0,,,,,,,,,,,,,
0,1000,19,1,35,0,,,,,,,,,,,,,
1,1000,23,1,30,0,,,,,,,,,,,,,
1,1000,24,2,26,0,,,,,,,,,,,,,
1,1000,24,2,29,0,,,,,,,,,,,,,
1,1000,25,0,26,0,,,,,,,,,,,,,
1,1000,25,1,46,0,,,,,,,,,,,,,
1,1000,27,0,36,0,,,,,,,,,,,,,
1,1000,27,1,38,0,,,,,,,,,,,,,
1,1000,27,0,32,0,,,,,,,,,,,,,
1,1000,28,1,30,0,,,,,,,,,,,,,
1,1000,28,1,35,0,,,,,,,,,,,,,
1,1000,29,1,29,1,,,,,,,,,,,,,
1,1000,29,0,26,0,,,,,,,,,,,,,
1,1000,29,0,32,0,,,,,,,,,,,,,
1,1000,29,1,25,0,,,,,,,,,,,,,
1,1000,29,1,33,0,,,,,,,,,,,,,
1,1000,29,2,39,0,,,,,,,,,,,,,
1,1000,29,1,28,0,,,,,,,,,,,,,
1,1000,36,0,26,0,,,,,,,,,,,,,
1,1000,38,1,26,0,,,,,,,,,,,,,
1,1000,44,1,28,0,,,,,,,,,,,,,
1,1000,44,0,39,0,,,,,,,,,,,,,
1,1000,44,0,29,0,,,,,,,,,,,,,
1,800,51,1,33,0,,,,,,,,,,,,,
1,1000,52,0,27,0,,,,,,,,,,,,,
1,800,56,0,34,0,,,,,,,,,,,,,
1,1000,58,0,26,0,,,,,,,,,,,,,
1,1000,58,1,28,0,,,,,,,,,,,,,
1,1000,59,2,32,0,,,,,,,,,,,,,
1,1000,59,0,27,1,,,,,,,,,,,,,
1,1000,59,2,21,0,,,,,,,,,,,,,
1,1000,59,0,39,0,,,,,,,,,,,,,
1,1000,59,0,38,0,,,,,,,,,,,,,
1,1000,59,1,36,1,,,,,,,,,,,,,
1,1000,59,0,33,0,,,,,,,,,,,,,
1,1000,59,1,21,1,,,,,,,,,,,,,
1,1000,59,0,25,0,,,,,,,,,,,,,
1,1000,59,0,29,0,,,,,,,,,,,,,
1,1000,59,1,33,0,,,,,,,,,,,,,
1,1000,59,0,47,1,,,,,,,,,,,,,
1,1000,59,0,33,0,,,,,,,,,,,,,
1,1000,59,0,23,0,,,,,,,,,,,,,
1,1000,59,0,24,0,,,,,,,,,,,,,
1,1000,59,0,27,0,,,,,,,,,,,,,
1,1000,59,0,32,0,,,,,,,,,,,,,
1,1000,59,0,33,0,,,,,,,,,,,,,
1,1000,59,1,27,1,,,,,,,,,,,,,
1,1000,59,0,35,0,,,,,,,,,,,,,
1,1000,59,2,37,0,,,,,,,,,,,,,
1,1000,59,1,28,0,,,,,,,,,,,,,
1,1000,59,0,33,0,,,,,,,,,,,,,
1,1000,59,1,34,1,,,,,,,,,,,,,
1,1000,59,0,29,0,,,,,,,,,,,,,
1,1000,59,0,34,0,,,,,,,,,,,,,
1,800,59,0,29,0,,,,,,,,,,,,,
1,1000,59,1,24,0,,,,,,,,,,,,,
1,1000,59,0,34,0,,,,,,,,,,,,,
1,1000,59,1,25,1,,,,,,,,,,,,,
1,1000,59,1,24,0,,,,,,,,,,,,,
1,1000,59,1,30,0,,,,,,,,,,,,,
1,1000,59,1,28,0,,,,,,,,,,,,,
1,1000,59,1,24,0,,,,,,,,,,,,,
1,1000,59,0,26,1,,,,,,,,,,,,,
1,1000,59,0,24,0,,,,,,,,,,,,,
1,1000,59,0,29,0,,,,,,,,,,,,,
1,1000,59,0,31,0,,,,,,,,,,,,,
1,1000,59,1,26,0,,,,,,,,,,,,,
1,1000,59,0,25,0,,,,,,,,,,,,,
1,800,60,1,29,0,,,,,,,,,,,,,
1,1000,60,0,38,0,,,,,,,,,,,,,
1,1000,60,1,41,0,,,,,,,,,,,,,
1,1000,60,1,26,0,,,,,,,,,,,,,
1,1000,60,0,26,0,,,,,,,,,,,,,
1,1000,60,0,35,0,,,,,,,,,,,,,
1,1000,60,1,37,0,,,,,,,,,,,,,
1,1000,60,0,25,0,,,,,,,,,,,,,
1,1000,60,0,24,0,,,,,,,,,,,,,
1,1000,60,2,34,0,,,,,,,,,,,,,
1,1000,60,1,33,0,,,,,,,,,,,,,
1,1000,60,0,38,0,,,,,,,,,,,,,
1,1000,60,1,38,0,,,,,,,,,,,,,
1,1000,61,0,26,0,,,,,,,,,,,,,
1,1000,61,0,37,0,,,,,,,,,,,,,
1,800,73,1,42,1,,,,,,,,,,,,,
1,800,74,2,49,1,,,,,,,,,,,,,
1,800,74,1,26,0,,,,,,,,,,,,,
1,1000,74,1,41,0,,,,,,,,,,,,,
1,1000,74,0,38,0,,,,,,,,,,,,,
1,1000,74,3,26,0,,,,,,,,,,,,,
1,800,74,2,32,0,,,,,,,,,,,,,
1,800,74,1,27,0,,,,,,,,,,,,,
1,800,74,1,33,0,,,,,,,,,,,,,
1,1000,74,1,30,0,,,,,,,,,,,,,
1,800,74,0,26,1,,,,,,,,,,,,,
1,1000,74,1,35,1,,,,,,,,,,,,,
1,800,74,1,46,1,,,,,,,,,,,,,
1,800,74,2,27,0,,,,,,,,,,,,,
1,800,74,0,22,0,,,,,,,,,,,,,
1,800,74,0,27,0,,,,,,,,,,,,,
1,1000,74,0,30,0,,,,,,,,,,,,,
1,800,74,0,27,0,,,,,,,,,,,,,
1,1000,74,1,47,0,,,,,,,,,,,,,
1,800,74,0,30,0,,,,,,,,,,,,,
1,1000,74,2,26,0,,,,,,,,,,,,,
1,800,74,0,38,0,,,,,,,,,,,,,
1,1000,74,2,46,0,,,,,,,,,,,,,
1,1000,74,1,35,0,,,,,,,,,,,,,
1,800,74,0,45,0,,,,,,,,,,,,,
1,800,74,0,36,0,,,,,,,,,,,,,
1,1000,75,0,38,0,,,,,,,,,,,,,
1,800,75,1,27,0,,,,,,,,,,,,,
1,800,75,0,27,0,,,,,,,,,,,,,
1,1000,75,0,29,0,,,,,,,,,,,,,
1,1000,75,2,30,0,,,,,,,,,,,,,
1,800,75,1,28,0,,,,,,,,,,,,,
1,1000,75,1,26,0,,,,,,,,,,,,,
1,1000,76,1,30,0,,,,,,,,,,,,,
1,800,76,1,38,1,,,,,,,,,,,,,
1,800,76,2,28,0,,,,,,,,,,,,,
