,riskiness,principal,past_due_days,education,age,gender,money_in_checking_account,credit_history,credit_amount,money_in_savings,years_at_present_job,years_at_current_address,rent_housing,own_housing,free_housing,number_of_credits_at_this_bank,is_employed,number_of_dependents,is_foreign_worker,credit_score,num_friends,sentiment,steps,activity,nutrition,num_connections
4675,0,1000.0,0.0,0.0,53,1,0.0,3.0,5711.0,4.0,4.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,734,225,0.03736898774423114,6275,222,0.8624637898829379,245
1468,0,1000.0,-7.0,2.0,29,0,0.0,1.0,1249.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,686,370,0.5341871280068671,4282,234,0.419758849760114,161
5118,0,800.0,4.0,1.0,21,1,0.0,1.0,7814.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,692,640,0.0037556873026999282,5639,112,4.958625720704582,203
2168,0,800.0,-6.0,1.0,43,0,0.0,3.0,1554.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,782,401,0.594974576017738,6084,171,1.1561930356618784,128
261,0,1000.0,1.0,0.0,29,0,1.0,1.0,1154.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,633,346,0.47212728853696617,7393,265,0.5512179658591504,0
4871,0,1000.0,-2.0,1.0,33,0,1.0,1.0,6468.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,815,374,0.39298757078908786,7151,301,4.518632548581204,144
1649,0,800.0,1.0,1.0,46,0,1.0,1.0,1318.0,4.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,776,138,0.4246910150447072,3067,262,2.538671456895387,173
5427,0,800.0,-3.0,1.0,39,0,0.0,2.0,12749.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,634,288,0.29269971837821984,7317,394,2.3038575887593824,159
3986,0,500.0,1.0,1.0,52,0,0.0,1.0,3577.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,716,260,0.5614656678104565,7180,266,4.065566830618856,307
1008,0,800.0,1.0,1.0,28,0,0.0,3.0,936.0,3.0,4.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,727,357,0.861913667263584,5091,390,2.939883482747419,194
137,0,1000.0,0.0,0.0,22,0,0.0,0.0,1655.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,611,532,0.4175016370575242,6923,309,3.6404686738376277,230
4246,0,1000.0,-1.0,2.0,23,1,0.0,1.0,3972.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,616,733,0.6223809022378878,3574,306,2.0715394005058667,246
1703,1,1000.0,27.0,1.0,21,0,0.0,1.0,1345.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,848,651,0.45843260644863104,4950,390,1.8813907323568824,146
2777,0,300.0,-4.0,0.0,49,0,0.0,3.0,2122.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,826,235,0.5751994441018303,5362,335,1.5281679199123492,212
1803,0,800.0,2.0,1.0,49,0,0.0,1.0,1386.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,460,187,0.5429524949324046,5684,168,1.5825070778919974,164
4676,0,1000.0,-4.0,2.0,42,0,0.0,3.0,5711.0,4.0,4.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,725,302,0.7509754634834961,7057,375,0.9528359098705014,151
3030,0,1000.0,0.0,0.0,32,0,0.0,3.0,2331.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,635,382,0.8901451295733878,6968,422,1.0547449929589132,174
4944,0,800.0,-5.0,0.0,30,1,0.0,3.0,6842.0,0.0,2.0,4.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,668,418,0.05462770920118787,6375,269,4.644206564100103,170
1677,1,1000.0,74.0,0.0,52,0,2.0,0.0,1337.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,835,332,0.15077697190762773,6931,96,3.1756795469036487,226
4084,0,1000.0,0.0,1.0,52,1,2.0,3.0,3656.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,472,194,0.8823951840042301,5747,296,3.628411451269029,317
3436,1,1000.0,59.0,1.0,28,1,1.0,1.0,2767.0,2.0,4.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,497,336,0.21303194269448067,5194,443,2.043114403633063,186
2493,0,1000.0,1.0,0.0,30,0,0.0,1.0,1901.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,510,344,0.39668923785945265,6592,216,1.0049218371694861,0
2864,0,1000.0,-1.0,2.0,25,0,0.0,3.0,2197.0,0.0,3.0,4.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,838,299,0.7714160633984178,5361,242,1.3714336259136966,209
2110,0,1000.0,-1.0,1.0,22,1,1.0,3.0,1537.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,430,638,0.40537268502991997,6456,428,1.3196212864986456,182
5143,0,1000.0,0.0,2.0,33,0,1.0,1.0,7966.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,522,321,0.11693663815197064,7598,194,1.2053490711360877,190
3845,1,1000.0,59.0,0.0,43,1,0.0,3.0,3384.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,767,252,0.04801563712387236,7567,236,2.6575148391585675,139
290,0,800.0,1.0,2.0,30,1,0.0,1.0,2375.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,685,424,0.4602232595455453,5906,470,3.152940416975972,109
1028,1,1000.0,59.0,0.0,31,0,0.0,0.0,950.0,1.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,738,319,0.7368518212934896,5280,292,3.345796421026673,0
1725,1,800.0,44.0,1.0,27,0,0.0,0.0,1358.0,0.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,508,209,0.025553849280555152,5524,140,2.483897808233713,209
4586,0,1000.0,-1.0,0.0,27,1,0.0,2.0,5117.0,1.0,3.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,751,327,0.3136723285109916,2505,343,3.4772987722712334,195
2646,0,1000.0,2.0,0.0,39,1,0.0,1.0,1984.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,641,279,0.4602472346462647,5701,258,1.2793296813587351,103
1586,0,1000.0,1.0,1.0,27,1,0.0,3.0,1291.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,464,413,0.18073045675156985,7111,328,3.7043181271494587,245
645,0,1000.0,-16.0,1.0,30,0,0.0,3.0,629.0,3.0,4.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,694,341,0.13704007890984982,8289,436,1.171065392222348,139
3217,0,1000.0,-1.0,1.0,32,0,1.0,1.0,2528.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,748,363,0.5980823050773492,6413,345,0.22508741298957025,148
88,0,1000.0,-2.0,0.0,43,0,0.0,3.0,3976.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,427,228,0.4552085127767933,6486,284,0.7111851798196672,0
4913,0,1000.0,3.0,1.0,40,0,1.0,2.0,6681.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,637,398,0.055367432667009386,6924,301,4.348765185769786,195
3825,0,1000.0,-24.0,0.0,39,0,0.0,1.0,3357.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,467,189,0.8003750857658714,5570,195,1.9209758990535803,0
1147,0,1000.0,3.0,0.0,26,1,1.0,1.0,1068.0,1.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,671,419,0.9710016284713058,4890,217,0.0042542465170059,187
1695,0,1000.0,1.0,0.0,34,1,0.0,2.0,1344.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,735,378,0.31975071103010777,4911,308,1.104244462109052,144
793,0,900.0,1.0,0.0,56,0,0.0,3.0,731.0,1.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,844,0,0.09684278775369315,5603,334,2.368844699515253,324
4565,0,1000.0,-2.0,0.0,48,0,0.0,3.0,5045.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,830,0,0.05833915331026629,4894,201,1.3345256212019674,153
4260,0,1000.0,-5.0,0.0,59,1,1.0,1.0,3979.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,470,121,0.9247929628830501,5319,322,2.630166815578127,237
2064,0,1000.0,-6.0,1.0,37,0,0.0,3.0,1516.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,848,345,0.5595558045567853,6890,258,1.1105536791417125,225
5206,0,1000.0,-1.0,2.0,24,0,0.0,1.0,8588.0,2.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,636,575,0.3913056693675313,5928,317,2.8433666298788722,222
3929,1,1000.0,74.0,0.0,55,1,0.0,3.0,3499.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,590,178,0.42581784431317893,5839,303,4.708474480815806,299
1721,1,1000.0,60.0,1.0,23,1,1.0,1.0,1355.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,678,663,0.4411802726554861,6439,374,3.13576360465478,257
4948,1,1000.0,59.0,0.0,55,1,1.0,0.0,6850.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,624,100,0.09088658673593075,6455,259,4.513883159164051,253
3514,1,1000.0,61.0,0.0,28,1,2.0,1.0,2864.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,459,425,0.8314013541875966,7871,360,3.568351706734333,170
3444,1,1000.0,74.0,1.0,46,1,0.0,3.0,2775.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,681,203,0.532398285882769,5989,192,4.013729710596854,157
5050,0,1000.0,0.0,0.0,23,1,1.0,2.0,7432.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,456,720,0.04670778478018123,6388,349,3.794308746882761,196
3567,0,800.0,0.0,0.0,22,0,0.0,1.0,2964.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,530,778,0.8106483853610847,5605,348,2.1602803413468545,218
5377,0,1000.0,-3.0,2.0,28,0,1.0,2.0,11760.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,659,404,0.7107948267231594,5231,319,0.3827851900177315,0
408,1,1000.0,58.0,1.0,28,0,0.0,3.0,1980.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,664,412,0.2934237114358127,6158,396,1.0011460569110402,0
3775,0,1000.0,3.0,2.0,32,0,0.0,1.0,3235.0,3.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,768,377,0.8458172311126992,6640,373,4.663944137294677,218
3424,0,1000.0,-1.0,0.0,55,0,1.0,1.0,2760.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,703,14,0.257860602164687,7382,338,1.665806797540263,283
2963,0,1000.0,-1.0,0.0,38,0,0.0,3.0,2288.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,505,214,0.41697907803883705,6472,317,4.4806360742592055,130
61,0,1000.0,-3.0,2.0,37,0,2.0,1.0,2751.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,599,324,0.9831128117987256,6266,193,3.8164191289964764,0
470,1,800.0,74.0,2.0,32,0,0.0,1.0,3386.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,636,373,0.15501863926085002,5390,297,4.129616653398873,185
4627,1,1000.0,59.0,1.0,30,0,0.0,0.0,5293.0,1.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,450,258,0.43884710777708624,8436,290,0.6715417205151442,190
2607,0,1000.0,-16.0,2.0,32,0,0.0,3.0,1957.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,704,348,0.39509830111162936,5996,112,0.06855348666581329,147
1528,1,1000.0,28.0,1.0,34,0,0.0,1.0,1275.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,402,397,0.06406182452626785,6528,266,0.8256283681763632,229
981,0,1000.0,-1.0,0.0,26,0,0.0,1.0,929.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,481,329,0.34515047750848304,7807,209,0.5482482041221792,134
1578,0,1000.0,-1.0,0.0,39,0,0.0,3.0,1288.0,2.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,779,164,0.8689564684390757,5433,372,3.0983817658360167,157
3362,0,1000.0,1.0,2.0,35,1,0.0,1.0,2697.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,508,370,0.19301528666611967,4258,369,2.899702297185372,163
2610,0,1000.0,1.0,0.0,31,0,2.0,1.0,1961.0,1.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,630,395,0.2781820933031667,5965,225,4.4495336726610795,196
302,0,1000.0,1.0,1.0,33,0,0.0,1.0,1797.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,481,397,0.6878380969493068,5073,242,2.8634533519314864,143
1053,0,1000.0,-6.0,0.0,27,0,0.0,3.0,975.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,745,389,0.7754581759938427,4916,279,2.0066776889314966,177
3207,1,1000.0,28.0,0.0,25,1,1.0,3.0,2520.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,408,467,0.6426474324728632,2600,345,0.5664589340436216,242
1630,0,1000.0,-24.0,0.0,24,1,0.0,1.0,1311.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,741,660,0.9788277461764312,5262,245,2.806431658834896,188
1999,0,1000.0,1.0,1.0,28,0,0.0,2.0,1478.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,662,0,0.025787932526207036,7031,340,4.456004396745875,195
1076,0,1000.0,1.0,0.0,27,1,0.0,1.0,999.0,0.0,4.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,745,362,0.7922788202000959,6205,407,3.7010518883478323,190
4173,0,1000.0,1.0,0.0,24,0,0.0,2.0,3863.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,703,642,0.22296380103115487,7810,282,4.723476192726946,198
512,0,1000.0,1.0,1.0,22,1,0.0,3.0,338.0,3.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,551,604,0.18363114060894736,6430,360,0.249138318881843,223
2732,0,800.0,1.0,0.0,35,0,0.0,1.0,2073.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,504,0,0.00129717094157622,5859,319,2.812190083029507,182
964,0,1000.0,12.0,1.0,34,0,0.0,1.0,909.0,3.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,595,379,0.06891949073023307,6443,229,3.387965231597878,195
4941,0,1000.0,1.0,0.0,30,1,0.0,3.0,6842.0,0.0,2.0,4.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,424,396,0.7900660768110221,6757,379,1.5941295030119407,188
1519,1,1000.0,28.0,1.0,31,0,2.0,3.0,1271.0,0.0,2.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,752,399,0.4935592472083722,7321,217,0.7740902774600655,0
2404,1,1000.0,60.0,2.0,36,0,0.0,1.0,1835.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,486,222,0.10423565688333225,6140,361,3.1104615765693473,163
1739,0,1000.0,1.0,0.0,39,0,0.0,3.0,1361.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,747,307,0.6725992077456405,6959,347,3.6837683021216785,182
5008,0,800.0,-1.0,0.0,28,0,0.0,2.0,7238.0,0.0,4.0,3.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,602,360,0.27991360174617386,5860,409,4.011456256561889,211
4353,0,1000.0,0.0,1.0,32,0,0.0,3.0,4272.0,1.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,692,359,0.8444086794705172,6592,374,4.821591749718994,108
4936,1,800.0,74.0,0.0,23,0,0.0,2.0,6836.0,1.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,624,714,0.23869704366423217,7119,464,2.4991288880375153,206
4559,1,1000.0,74.0,1.0,23,1,1.0,3.0,4933.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,551,606,0.5471080001787338,4518,433,0.6673704206801179,182
2443,1,1000.0,60.0,1.0,42,0,0.0,3.0,1864.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,659,331,0.6635667445380564,7531,422,2.974929989472929,134
3071,0,1000.0,0.0,0.0,38,0,2.0,3.0,2360.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,411,240,0.6698544598584428,6194,341,3.343148713268473,0
5354,1,800.0,58.0,0.0,45,0,0.0,1.0,10974.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,429,253,0.01681500684863757,6111,424,1.1269402409226015,186
3405,0,1000.0,1.0,1.0,20,0,0.0,3.0,2751.0,0.0,4.0,3.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,772,573,0.3887281379113884,5064,412,0.2016734383863561,209
4414,1,1000.0,27.0,0.0,31,0,0.0,2.0,4463.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,481,299,0.5120679194518127,5801,465,0.21438483573799905,142
297,0,1000.0,1.0,2.0,29,0,2.0,1.0,3021.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,624,381,0.3395315219203162,5270,303,3.4910400412078486,182
2972,0,1000.0,0.0,0.0,28,0,0.0,1.0,2299.0,3.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,658,364,0.09178347678188647,5994,388,0.0975438694942643,243
5045,0,1000.0,-1.0,2.0,43,0,1.0,2.0,7418.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,814,281,0.5492151146896531,5975,446,3.763341796867163,197
2856,0,1000.0,1.0,1.0,49,0,0.0,1.0,2186.0,0.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,595,174,0.3700850511603808,5332,196,4.707577964875199,163
2484,0,800.0,-2.0,2.0,30,0,0.0,1.0,1893.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,460,390,0.657777074534084,3666,284,4.488734631580304,100
751,1,1000.0,74.0,1.0,46,1,0.0,1.0,709.0,1.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,696,268,0.44243469095620125,7610,356,0.6419466067853158,172
5331,0,1000.0,-2.0,0.0,23,1,0.0,3.0,10623.0,1.0,4.0,4.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,626,619,0.06993803620503103,4803,312,4.894129183787524,270
5332,0,800.0,1.0,1.0,29,0,0.0,3.0,10623.0,1.0,4.0,4.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,472,463,0.08048060253558409,6318,178,0.8985554775701882,233
2058,0,800.0,1.0,1.0,27,0,1.0,1.0,1514.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,709,251,0.7461428921689064,3944,227,0.9302229086129388,185
2711,0,1000.0,1.0,3.0,45,1,0.0,3.0,2058.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,796,264,0.3831303844581112,6354,325,3.3140727745226917,163
